2024-02-20 11:14:24,202 - root - INFO - This is a log info
2024-02-20 11:20:24,563 - root - INFO - This is a log info
2024-02-20 11:21:07,287 - root - INFO - This is a log info
2024-02-21 02:52:44,712 - root - INFO - This is a log info
2024-02-21 03:25:20,596 - root - INFO - Epoch 1/10, Train Loss: 2.4640844431271782, Val Loss: 2.397910234054335
2024-02-21 03:56:41,762 - root - INFO - Epoch 2/10, Train Loss: 2.4003286168016773, Val Loss: 2.389960359790023
2024-02-21 04:27:53,448 - root - INFO - Epoch 3/10, Train Loss: 2.3567267085803247, Val Loss: 2.388059999851775
2024-02-21 04:59:07,840 - root - INFO - Epoch 4/10, Train Loss: 2.3191450112862912, Val Loss: 2.304648698364597
2024-02-21 05:30:42,515 - root - INFO - Epoch 5/10, Train Loss: 2.2757142076564376, Val Loss: 2.246327633829473
2024-02-21 06:03:06,650 - root - INFO - Epoch 6/10, Train Loss: 2.2445528212212196, Val Loss: 2.2379467180044528
2024-02-21 06:34:45,666 - root - INFO - Epoch 7/10, Train Loss: 2.221817414015907, Val Loss: 2.216347577952861
2024-02-21 07:06:03,021 - root - INFO - Epoch 8/10, Train Loss: 2.195287102791164, Val Loss: 2.2011462705792746
2024-02-21 07:37:19,435 - root - INFO - Epoch 9/10, Train Loss: 2.1706989752855947, Val Loss: 2.1609512118685203
2024-02-21 08:08:43,620 - root - INFO - Epoch 10/10, Train Loss: 2.148007824453959, Val Loss: 2.1522316270459148
2024-02-21 08:14:20,505 - root - INFO -               precision    recall  f1-score   support

           0       0.49      0.06      0.11      3617
           1       0.15      0.08      0.11      3625
           2       0.19      0.42      0.26      3725
           3       0.29      0.23      0.26      3627
           4       0.18      0.24      0.20      3629
           5       0.13      0.25      0.17      3569
           6       0.23      0.23      0.23      3607
           7       0.53      0.42      0.47      3642
           8       0.37      0.23      0.29      3690
           9       0.33      0.44      0.38      3575
          10       0.54      0.16      0.25      3653
          11       0.33      0.33      0.33      3583

    accuracy                           0.26     43542
   macro avg       0.31      0.26      0.25     43542
weighted avg       0.31      0.26      0.25     43542

