2024-02-20 05:30:49,903 - root - INFO - This is a log info
2024-02-20 05:49:09,284 - root - INFO - This is a log info
2024-02-20 05:52:26,361 - root - INFO - This is a log info
2024-02-20 05:54:01,061 - root - INFO - This is a log info
2024-02-20 06:08:58,246 - root - INFO - This is a log info
2024-02-20 07:04:37,314 - root - INFO - Epoch 1/10, Train Loss: 1.4745530655011723, Val Loss: 1.0853444838040918
2024-02-20 07:59:10,853 - root - INFO - Epoch 2/10, Train Loss: 1.0212401534132753, Val Loss: 0.9759671288744319
2024-02-20 08:53:50,368 - root - INFO - Epoch 3/10, Train Loss: 0.9109500481439777, Val Loss: 0.9124333953053604
2024-02-20 09:49:03,105 - root - INFO - Epoch 4/10, Train Loss: 0.8429099574910304, Val Loss: 0.8984465609408943
2024-02-20 10:43:31,935 - root - INFO - Epoch 5/10, Train Loss: 0.7822984737398042, Val Loss: 0.8900225744781417
2024-02-20 11:39:09,868 - root - INFO - Epoch 6/10, Train Loss: 0.7268126529808009, Val Loss: 0.8907026488551767
2024-02-20 12:32:47,216 - root - INFO - Epoch 7/10, Train Loss: 0.6717902810807792, Val Loss: 0.8869637988408845
2024-02-20 13:27:55,304 - root - INFO - Epoch 8/10, Train Loss: 0.6205273823676541, Val Loss: 0.9174682236436172
2024-02-20 14:21:20,549 - root - INFO - Epoch 9/10, Train Loss: 0.5686449291611498, Val Loss: 0.9315867427406103
2024-02-20 15:16:32,952 - root - INFO - Epoch 10/10, Train Loss: 0.5150559012606852, Val Loss: 0.9851568452437248
2024-02-20 15:26:56,134 - root - INFO -               precision    recall  f1-score   support

           0       0.50      0.39      0.44      3617
           1       0.51      0.52      0.52      3625
           2       0.75      0.77      0.76      3725
           3       0.81      0.84      0.82      3627
           4       0.74      0.83      0.78      3629
           5       0.84      0.87      0.86      3569
           6       0.72      0.73      0.73      3607
           7       0.77      0.86      0.81      3642
           8       0.45      0.31      0.37      3690
           9       0.79      0.87      0.83      3575
          10       0.81      0.83      0.82      3653
          11       0.78      0.82      0.80      3583

    accuracy                           0.72     43542
   macro avg       0.71      0.72      0.71     43542
weighted avg       0.71      0.72      0.71     43542

