category1,num
বাংলাদেশ,125867
সংবাদ,119273
আজকের পত্রিকা,94592
আন্তর্জাতিক,74297
জাতীয়,73176
international,41138
সর্বশেষ সংবাদ,40219
খেলাধুলা,40080
রাজনীতি,40035
national,38351
খবর,37852
দেশজুড়ে,34598
sports,30199
দেশ,30114
বিনোদন,24777
জাতীয়,22720
আর্কাইভ,19546
অর্থনীতি,16536
Featured News,16166
politics,15953
entertainment,15409
খেলা,14731
খেলাধুলা ,14639
বিনোদন ,13405
News,12999
no category,10992
অপরাধ,10856
রাজধানী,10452
শিক্ষা,10348
bangladesh,9696
সারাদেশ,9202
অর্থ-বাণিজ্য,9092
বিজ্ঞান ও তথ্যপ্রযুক্তি,9056
archive,8733
শিক্ষা ,7329
আদালত,6762
মতামত,6415
ফিচার,5507
আইন-বিচার,5416
মফস্বল,5396
ক্রিকেট,5201
campus,4697
lifestyle,4541
Verses,4519
কবিতা,4509
পুলিশ,4461
লাইফস্টাইল ,4381
International,3984
আইন-বিচার ,3943
economics,3817
অর্থ-উন্নয়ন,3646
স্পোর্টস,3573
Sports,3520
অপরাধ ও দুর্নীতি,3438
তথ্য প্রযুক্তি,3279
স্বাস্থ্য,3173
প্রবাসের খবর,3096
পুঁজিবাজার,3031
গল্প,2970
বিজ্ঞান-প্রযুক্তি,2834
স্বাস্থ্য ,2785
বিনোদন,2718
শামসুর রাহমান,2711
প্রশাসন,2563
tech,2521
বাংলা কোরআন,2302
অন্যান্য,2253
Songs,2199
বিশেষ দিবস ,2162
বিশ্ব,2039
বিশেষ প্রতিবেদন,1851
চাকরি-বাকরি,1840
সেবা প্রকাশনী,1794
 রাজনীতি ,1737
উপসম্পাদকীয়,1723
শেষ পাতা,1717
বাংলা হাদিস,1606
"ভাষা, সাহিত্য ও সংস্কৃতি",1596
নির্বাচিত খবর,1577
প্রথম পাতা,1567
লাইফ স্টাইল,1564
ভ্রমণ,1518
বাণিজ্য,1495
মুক্তমত,1485
গণমাধ্যম,1440
সুনীল গঙ্গোপাধ্যায়,1436
রবীন্দ্রনাথ ঠাকুর,1407
 জাতীয় ,1397
world,1378
ফেসবুক কর্নার,1352
বিচিত্র,1319
Business,1304
বাংলা বেদ,1298
নজরুল রচনাবলী (কাজী নজরুল ইসলাম),1263
বাংলা মহাভারত,1220
অনুবাদ সাহিত্য,1194
 ঢাকা ,1184
