category1,num
সংবাদ,414224
বাংলাদেশ,126016
আজকের পত্রিকা,94927
আন্তর্জাতিক,75581
জাতীয়,73246
international,41236
সর্বশেষ সংবাদ,40775
রাজনীতি,40322
খেলাধুলা,40106
national,38414
খবর,37858
দেশজুড়ে,35447
sports,30281
দেশ,30196
আর্কাইভ,29226
বিনোদন,24789
জাতীয়,23449
অর্থনীতি,16541
Featured News,16170
politics,16006
খেলাধুলা ,15569
entertainment,15480
খেলা,14768
বিনোদন ,13622
News,13411
no category,11011
অপরাধ,10859
রাজধানী,10497
শিক্ষা,10363
bangladesh,9697
অর্থ-বাণিজ্য,9549
সারাদেশ,9254
বিজ্ঞান ও তথ্যপ্রযুক্তি,9062
archive,8781
শিক্ষা ,7344
আদালত,6763
মতামত,6431
ফিচার,5555
আইন-বিচার,5427
মফস্বল,5403
ক্রিকেট,5201
campus,4718
লাইফস্টাইল ,4554
lifestyle,4550
কবিতা,4529
Verses,4521
পুলিশ,4468
International,4020
আইন-বিচার ,3961
economics,3823
অর্থ-উন্নয়ন,3646
স্পোর্টস,3589
Sports,3529
অপরাধ ও দুর্নীতি,3439
তথ্য প্রযুক্তি,3327
স্বাস্থ্য,3174
প্রবাসের খবর,3096
পুঁজিবাজার,3034
