id,website_id,title,T2_S_score,T2_rank
20732379,2268,বাস-ট্রেন-লঞ্চে অতিরিক্ত যাত্রী পরিবহন করলেই ব্যবস্থা-স্বরাষ্ট্রমন্ত্রী,84.61538462,1.0
20725767,2268,"ইফতারের সময় ডেকে নিয়ে কিশোরকে হত্যা, দুই বন্ধু আটক",84.61538462,1.0
20725765,2268,মৌলভীবাজারে খেলাফত মজলিসের ইফতার মাহফিল,84.61538462,1.0
20725764,2268,নোয়াখালীতে চোরাই মোটরসাইকেলসহ যুবলীগ নেতা গ্রেপ্তার,84.61538462,1.0
20725763,2268,"‘ভোটে আমরা হারিনি, ম্যাকানিজম করে হারানো হইছে’",84.61538462,1.0
20725762,2268,নানাকে ভুয়া মুক্তিযোদ্ধা বানিয়ে সরকারি চাকরি করছেন নাতি,84.61538462,1.0
20725761,2268,সাবিনা-সানজিদাদের ঠিকানা নাসরিন স্পোর্টিং ক্লাব,84.61538462,1.0
20725760,2268,ব্যাটারদের দিকে তাকিয়ে বাংলাদেশ,84.61538462,1.0
20725759,2268,অবশেষে প্রথম গ্র্যান্ডমাস্টার নর্ম পেলেন ফাহাদ,84.61538462,1.0
20725758,2268,বাংলাদেশকে পার্থক্য বোঝাচ্ছে অস্ট্রেলিয়া,84.61538462,1.0
20725757,2268,"বাসের অগ্রিম টিকিট বিক্রি ২রা এপ্রিল, ট্রেনের ফিরতি ৩রা এপ্রিল",84.61538462,1.0
20725756,2268,বাংলাদেশের ভুলে ভুলে শ্রীলঙ্কার ‘রেকর্ড’,84.61538462,1.0
20725755,2268,রোলেক্স ঘড়ির সন্ধানে পেরুর প্রেসিডেন্টের বাসায় অভিযান,84.61538462,1.0
20725754,2268,১২০০তম উপ-শাখার মাইলফলক অর্জন করলো আইএফআইসি ব্যাংক,84.61538462,1.0
20725753,2268,মার্কিন দূতাবাস প্রতিনিধিদলের বেক্সিমকো ইন্ডাস্ট্রিয়াল পার্ক এবং শাইনপুকুর সিরামিক পরিদর্শন,84.61538462,1.0
20725752,2268,আত্মসমর্পণের পর বিএনপি নেতা সোহেল কারাগারে,84.61538462,1.0
20725751,2268,দৌলতপুরে শিক্ষা কর্মকর্তা শফিউলের বিরুদ্ধে অনিয়মের অভিযোগ,84.61538462,1.0
20725766,2268,তারাকান্দায় বাস-মাইক্রো সংঘর্ষে ভাই-বোন নিহত,84.61538462,1.0
20725769,2268,কয়রায় যুবকের লাশ উদ্ধার,84.61538462,1.0
20725787,2268,নিপুণের দাবি,84.61538462,1.0
20725770,2268,রায়পুরা আওয়ামী লীগের ইফতার ও দোয়া মাহফিল,84.61538462,1.0
20725785,2268,কিশোরগঞ্জে মনি হত্যা মামলা তুলে নিতে হুমকি,84.61538462,1.0
20725784,2268,সুনামগঞ্জে সড়ক দুর্ঘটনায় পুলিশ কর্মকর্তার মর্মান্তিক মৃত্যু,84.61538462,1.0
20725783,2268,মশিউর হত্যায় জড়িতদের শাস্তির দাবিতে মানববন্ধন,84.61538462,1.0
20725782,2268,শৈলকুপায় নদী দখল করে যুবলীগ নেতার ইটভাটা-পুকুর খনন,84.61538462,1.0
20725781,2268,‘গণতন্ত্র পুনরুদ্ধার না হওয়া পর্যন্ত আমাদের সংগ্রাম চলছে চলবে’,84.61538462,1.0
20725780,2268,কর্মচারী আইন শিথিল নয় সম্পদের হিসাব দাখিল বাধ্যতামূলক করতে হবে,84.61538462,1.0
20725779,2268,কানাইঘাটে বিয়ের ৬ মাসের মাথায় নববধূর রহস্যজনক মৃত্যু,84.61538462,1.0
20725778,2268,"ভোটের পরিবেশ সৃষ্টি হয়েছে, আরও হবে: রাশেদা সুলতানা",84.61538462,1.0
20725777,2268,চবি সাংবাদিকতা অ্যালামনাই এসোসিয়েশনের বার্ষিক সাধারণ সভা ও ইফতার মাহফিল সম্পন্ন,84.61538462,1.0
20725776,2268,"হত্যা মামলার আসামিরা প্রকাশ্যে, ধরছে না পুলিশ",84.61538462,1.0
20725775,2268,রাজাপুরে সাংবাদিককে লাঞ্ছিতের প্রতিবাদে মানববন্ধন,84.61538462,1.0
20725774,2268,"ফি আছে, সেবা নেই",84.61538462,1.0
20725773,2268,ভারত থেকে এলো পিয়াজের প্রথম চালান,84.61538462,1.0
20725772,2268,বন্ধু রাষ্ট্রের সহযোগিতায় ক্ষমতায় এসেছে আওয়ামী লীগ- মঈন খান,84.61538462,1.0
